image_id,healthy,multiple_diseases,rust,scab
Test_0,0.0,0.0,1.0,0.0
Test_8,0.0,1.0,0.0,0.0
Test_11,1.0,0.0,0.0,0.0
Test_20,0.0,0.0,0.0,1.0
Test_28,1.0,0.0,0.0,0.0
Test_32,0.0,0.0,0.0,1.0
Test_41,0.0,0.0,1.0,0.0
Test_53,0.0,0.0,1.0,0.0
Test_62,0.0,0.0,0.0,1.0
Test_63,0.0,0.0,0.0,1.0
Test_73,1.0,0.0,0.0,0.0
Test_76,1.0,0.0,0.0,0.0
Test_80,0.0,1.0,0.0,0.0
Test_82,0.0,0.0,1.0,0.0
Test_105,0.0,0.0,0.0,1.0
Test_129,0.0,0.0,1.0,0.0
Test_133,0.0,0.0,0.0,1.0
Test_135,0.0,0.0,1.0,0.0
Test_136,0.0,0.0,0.0,1.0
Test_144,1.0,0.0,0.0,0.0
Test_153,0.0,0.0,0.0,1.0
Test_154,0.0,0.0,1.0,0.0
Test_159,0.0,0.0,1.0,0.0
Test_162,0.0,0.0,1.0,0.0
Test_163,0.0,0.0,1.0,0.0
Test_168,0.0,1.0,0.0,0.0
Test_199,0.0,0.0,1.0,0.0
Test_208,0.0,0.0,0.0,1.0
Test_211,0.0,1.0,0.0,0.0
Test_238,0.0,1.0,0.0,0.0
Test_239,0.0,0.0,1.0,0.0
Test_240,0.0,0.0,1.0,0.0
Test_247,0.0,0.0,0.0,1.0
Test_268,0.0,1.0,0.0,0.0
Test_269,1.0,0.0,0.0,0.0
Test_275,0.0,0.0,1.0,0.0
Test_280,0.0,0.0,0.0,1.0
Test_281,0.0,0.0,0.0,1.0
Test_290,0.0,0.0,1.0,0.0
Test_299,0.0,1.0,0.0,0.0
Test_307,1.0,0.0,0.0,0.0
Test_308,0.0,0.0,0.0,1.0
Test_309,0.0,0.0,1.0,0.0
Test_322,1.0,0.0,0.0,0.0
Test_337,1.0,0.0,0.0,0.0
Test_340,0.0,0.0,1.0,0.0
Test_356,1.0,0.0,0.0,0.0
Test_358,0.0,1.0,0.0,0.0
Test_370,0.0,0.0,1.0,0.0
Test_378,0.0,0.0,1.0,0.0
Test_384,0.0,0.0,1.0,0.0
Test_391,0.0,0.0,1.0,0.0
Test_395,0.0,1.0,0.0,0.0
Test_401,0.0,0.0,1.0,0.0
Test_404,0.0,0.0,0.0,1.0
Test_406,0.0,0.0,0.0,1.0
Test_412,0.0,1.0,0.0,0.0
Test_432,0.0,0.0,0.0,1.0
Test_447,0.0,0.0,1.0,0.0
Test_468,1.0,0.0,0.0,0.0
Test_479,0.0,0.0,0.0,1.0
Test_494,0.0,0.0,1.0,0.0
Test_495,0.0,0.0,0.0,1.0
Test_499,0.0,0.0,1.0,0.0
Test_501,1.0,0.0,0.0,0.0
Test_502,1.0,0.0,0.0,0.0
Test_506,0.0,1.0,0.0,0.0
Test_507,0.0,0.0,1.0,0.0
Test_509,0.0,0.0,1.0,0.0
Test_513,0.0,0.0,0.0,1.0
Test_532,0.0,0.0,1.0,0.0
Test_538,0.0,0.0,0.0,1.0
Test_540,0.0,0.0,1.0,0.0
Test_544,0.0,0.0,1.0,0.0
Test_555,0.0,0.0,0.0,1.0
Test_560,0.0,0.0,1.0,0.0
Test_563,0.0,1.0,0.0,0.0
Test_565,0.0,0.0,1.0,0.0
Test_581,1.0,0.0,0.0,0.0
Test_586,1.0,0.0,0.0,0.0
Test_601,0.0,0.0,0.0,1.0
Test_602,0.0,0.0,0.0,1.0
Test_603,0.0,0.0,0.0,1.0
Test_604,0.0,0.0,1.0,0.0
Test_616,0.0,0.0,0.0,1.0
Test_619,0.0,0.0,1.0,0.0
Test_622,0.0,0.0,1.0,0.0
Test_628,0.0,0.0,0.0,1.0
Test_631,1.0,0.0,0.0,0.0
Test_642,0.0,0.0,0.0,1.0
Test_643,1.0,0.0,0.0,0.0
Test_647,0.0,1.0,0.0,0.0
Test_659,0.0,0.0,0.0,1.0
Test_678,0.0,0.0,0.0,1.0
Test_680,0.0,0.0,0.0,1.0
Test_685,1.0,0.0,0.0,0.0
Test_686,0.0,0.0,0.0,1.0
Test_696,0.0,0.0,1.0,0.0
Test_697,0.0,0.0,1.0,0.0
Test_714,0.0,1.0,0.0,0.0
Test_717,0.0,0.0,1.0,0.0
Test_727,0.0,1.0,0.0,0.0
Test_735,1.0,0.0,0.0,0.0
Test_741,0.0,0.0,0.0,1.0
Test_751,0.0,0.0,1.0,0.0
Test_758,1.0,0.0,0.0,0.0
Test_766,0.0,0.0,0.0,1.0
Test_787,0.0,0.0,1.0,0.0
Test_790,0.0,1.0,0.0,0.0
Test_792,0.0,0.0,1.0,0.0
Test_797,1.0,0.0,0.0,0.0
Test_798,0.0,0.0,1.0,0.0
Test_806,0.0,1.0,0.0,0.0
Test_826,0.0,0.0,1.0,0.0
Test_836,0.0,1.0,0.0,0.0
Test_859,0.0,0.0,0.0,1.0
Test_868,0.0,0.0,1.0,0.0
Test_871,0.0,0.0,0.0,1.0
Test_876,0.0,0.0,0.0,1.0
Test_877,1.0,0.0,0.0,0.0
Test_884,0.0,1.0,0.0,0.0
Test_886,1.0,0.0,0.0,0.0
Test_891,0.0,0.0,0.0,1.0
Test_895,1.0,0.0,0.0,0.0
Test_909,1.0,0.0,0.0,0.0
Test_919,0.0,0.0,0.0,1.0
Test_921,0.0,1.0,0.0,0.0
Test_926,0.0,0.0,1.0,0.0
Test_932,0.0,1.0,0.0,0.0
Test_950,0.0,0.0,0.0,1.0
Test_959,0.0,0.0,1.0,0.0
Test_965,1.0,0.0,0.0,0.0
Test_967,0.0,0.0,1.0,0.0
Test_976,0.0,0.0,1.0,0.0
Test_982,1.0,0.0,0.0,0.0
Test_985,0.0,1.0,0.0,0.0
Test_989,1.0,0.0,0.0,0.0
Test_1010,0.0,0.0,1.0,0.0
Test_1013,0.0,0.0,1.0,0.0
Test_1019,0.0,0.0,1.0,0.0
Test_1025,0.0,0.0,0.0,1.0
Test_1031,0.0,0.0,0.0,1.0
Test_1032,0.0,0.0,0.0,1.0
Test_1033,0.0,0.0,1.0,0.0
Test_1044,0.0,0.0,0.0,1.0
Test_1058,1.0,0.0,0.0,0.0
Test_1073,0.0,0.0,0.0,1.0
Test_1094,1.0,0.0,0.0,0.0
Test_1095,0.0,0.0,0.0,1.0
Test_1099,0.0,0.0,0.0,1.0
Test_1125,0.0,1.0,0.0,0.0
Test_1127,0.0,0.0,0.0,1.0
Test_1129,0.0,0.0,1.0,0.0
Test_1133,0.0,0.0,0.0,1.0
Test_1141,0.0,0.0,0.0,1.0
Test_1142,0.0,0.0,1.0,0.0
Test_1143,0.0,0.0,1.0,0.0
Test_1159,0.0,0.0,1.0,0.0
Test_1169,0.0,0.0,0.0,1.0
Test_1175,0.0,0.0,1.0,0.0
Test_1177,1.0,0.0,0.0,0.0
Test_1182,1.0,0.0,0.0,0.0
Test_1184,0.0,0.0,1.0,0.0
Test_1192,0.0,0.0,1.0,0.0
Test_1214,0.0,0.0,0.0,1.0
Test_1216,0.0,0.0,1.0,0.0
Test_1221,1.0,0.0,0.0,0.0
Test_1224,0.0,1.0,0.0,0.0
Test_1226,0.0,0.0,1.0,0.0
Test_1235,1.0,0.0,0.0,0.0
Test_1240,0.0,0.0,1.0,0.0
Test_1246,1.0,0.0,0.0,0.0
Test_1259,1.0,0.0,0.0,0.0
Test_1261,0.0,0.0,1.0,0.0
Test_1281,0.0,1.0,0.0,0.0
Test_1287,1.0,0.0,0.0,0.0
Test_1288,1.0,0.0,0.0,0.0
Test_1289,0.0,0.0,0.0,1.0
Test_1293,0.0,1.0,0.0,0.0
Test_1305,0.0,0.0,1.0,0.0
Test_1318,0.0,0.0,0.0,1.0
Test_1337,0.0,0.0,1.0,0.0
Test_1338,0.0,0.0,1.0,0.0
Test_1340,0.0,0.0,0.0,1.0
Test_1344,0.0,0.0,1.0,0.0
Test_1345,0.0,0.0,1.0,0.0
Test_1350,1.0,0.0,0.0,0.0
Test_1356,0.0,0.0,0.0,1.0
Test_1375,0.0,1.0,0.0,0.0
Test_1379,0.0,1.0,0.0,0.0
Test_1382,0.0,0.0,1.0,0.0
Test_1398,0.0,0.0,1.0,0.0
Test_1402,1.0,0.0,0.0,0.0
Test_1406,0.0,0.0,1.0,0.0
Test_1408,1.0,0.0,0.0,0.0
Test_1411,0.0,0.0,0.0,1.0
Test_1420,0.0,0.0,0.0,1.0
Test_1422,0.0,0.0,1.0,0.0
Test_1427,0.0,0.0,0.0,1.0
Test_1432,0.0,0.0,1.0,0.0
Test_1436,0.0,1.0,0.0,0.0
Test_1440,0.0,1.0,0.0,0.0
Test_1446,1.0,0.0,0.0,0.0
Test_1451,0.0,0.0,0.0,1.0
Test_1453,0.0,0.0,1.0,0.0
Test_1459,0.0,0.0,1.0,0.0
Test_1468,0.0,0.0,0.0,1.0
Test_1471,0.0,0.0,1.0,0.0
Test_1477,0.0,0.0,0.0,1.0
Test_1490,0.0,0.0,0.0,1.0
Test_1504,0.0,0.0,1.0,0.0
Test_1511,0.0,0.0,0.0,1.0
Test_1534,0.0,1.0,0.0,0.0
Test_1536,0.0,1.0,0.0,0.0
Test_1537,0.0,0.0,0.0,1.0
Test_1553,0.0,0.0,0.0,1.0
Test_1578,0.0,0.0,1.0,0.0
Test_1579,1.0,0.0,0.0,0.0
Test_1582,0.0,0.0,1.0,0.0
Test_1583,0.0,0.0,1.0,0.0
Test_1587,0.0,0.0,1.0,0.0
Test_1590,0.0,1.0,0.0,0.0
Test_1601,0.0,0.0,0.0,1.0
Test_1602,1.0,0.0,0.0,0.0
Test_1613,0.0,1.0,0.0,0.0
Test_1623,0.0,0.0,0.0,1.0
Test_1630,0.0,0.0,0.0,1.0
Test_1634,0.0,1.0,0.0,0.0
Test_1638,1.0,0.0,0.0,0.0
Test_1664,0.0,0.0,0.0,1.0
Test_1674,0.0,0.0,0.0,1.0
Test_1689,1.0,0.0,0.0,0.0
Test_1691,0.0,0.0,0.0,1.0
Test_1699,0.0,0.0,0.0,1.0
Test_1700,1.0,0.0,0.0,0.0
Test_1710,0.0,0.0,1.0,0.0
Test_1714,0.0,1.0,0.0,0.0
Test_1717,0.0,0.0,0.0,1.0
Test_1720,0.0,0.0,1.0,0.0
Test_1728,0.0,1.0,0.0,0.0
Test_1737,0.0,0.0,0.0,1.0
Test_1742,0.0,0.0,1.0,0.0
Test_1744,0.0,0.0,1.0,0.0
Test_1751,0.0,0.0,0.0,1.0
Test_1755,0.0,0.0,1.0,0.0
Test_1761,1.0,0.0,0.0,0.0
Test_1775,0.0,0.0,1.0,0.0
Test_1778,1.0,0.0,0.0,0.0
Test_1791,1.0,0.0,0.0,0.0
